"name","nameFull","class","pond","date","depth","freq"
"757_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\757_4.tif",4,"R2R3","05-17-10","80 mm","5 MHz"
"760_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\760_4.tif",4,"R2R3","05-17-10","80 mm","5 MHz"
"782_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\782_4.tif",4,"R2R3","05-17-10","80 mm","5 MHz"
"786_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\786_4.tif",4,"R2R3","05-17-10","80 mm","5 MHz"
"806_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\806_4.tif",4,"R2R3","NA","80 mm","5 MHz"
"918_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\918_4.tif",4,"R2R3","NA","80 mm","5 MHz"
"601_5.tif","5 (190 images)\PondB9 2010 (14 images)\601_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"620_5.tif","5 (190 images)\PondB9 2010 (14 images)\620_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"625_5.tif","5 (190 images)\PondB9 2010 (14 images)\625_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"628_5.tif","5 (190 images)\PondB9 2010 (14 images)\628_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"629_5.tif","5 (190 images)\PondB9 2010 (14 images)\629_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"631_5.tif","5 (190 images)\PondB9 2010 (14 images)\631_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"642_5.tif","5 (190 images)\PondB9 2010 (14 images)\642_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"648_5.tif","5 (190 images)\PondB9 2010 (14 images)\648_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"651_5.tif","5 (190 images)\PondB9 2010 (14 images)\651_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"652_5.tif","5 (190 images)\PondB9 2010 (14 images)\652_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"656_5.tif","5 (190 images)\PondB9 2010 (14 images)\656_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"663_5.tif","5 (190 images)\PondB9 2010 (14 images)\663_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"773_5.tif","5 (190 images)\PondB9 2010 (14 images)\773_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"775_5.tif","5 (190 images)\PondB9 2010 (14 images)\775_5.tif",5,"B9","05-06-10","80 mm","5 MHz"
"102.tif","5 (190 images)\PondG1G2 2010 (10 images)\102.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"5216A.tif","5 (190 images)\PondG1G2 2010 (10 images)\5216A.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"529.tif","5 (190 images)\PondG1G2 2010 (10 images)\529.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"530.tif","5 (190 images)\PondG1G2 2010 (10 images)\530.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"537.tif","5 (190 images)\PondG1G2 2010 (10 images)\537.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"539.tif","5 (190 images)\PondG1G2 2010 (10 images)\539.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"8111A.tif","5 (190 images)\PondG1G2 2010 (10 images)\8111A.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"8366A.tif","5 (190 images)\PondG1G2 2010 (10 images)\8366A.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"8556A.tif","5 (190 images)\PondG1G2 2010 (10 images)\8556A.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"8657A.tif","5 (190 images)\PondG1G2 2010 (10 images)\8657A.tif",5,"G1G2","03-30-10","80 mm","8 MHz"
"793_5.tif","5 (190 images)\PondG1-May 2010 (3 images)\793_5.tif",5,"G1-May","05-17-10","80 mm","5 MHz"
"796_5.tif","5 (190 images)\PondG1-May 2010 (3 images)\796_5.tif",5,"G1-May","05-17-10","80 mm","5 MHz"
"797_5.tif","5 (190 images)\PondG1-May 2010 (3 images)\797_5.tif",5,"G1-May","05-17-10","80 mm","5 MHz"
"752_5_2.tif","5 (190 images)\PondR2R3 2010 (15 images)\752_5_2.tif",5,"R2R3","05-17-10","80 mm","5 MHz"
"752_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\752_5.tif",5,"R2R3","05-17-10","80 mm","5 MHz"
"762_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\762_5.tif",5,"R2R3","05-17-10","80 mm","5 MHz"
"779_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\779_5.tif",5,"R2R3","05-17-10","80 mm","5 MHz"
"803_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\803_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"901_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\901_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"902_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\902_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"905_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\905_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"907_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\907_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"908_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\908_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"911_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\911_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"912_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\912_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"915_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\915_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"916_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\916_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"920_5.tif","5 (190 images)\PondR2R3 2010 (15 images)\920_5.tif",5,"R2R3","NA","80 mm","5 MHz"
"604_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\604_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"606_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\606_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"607_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\607_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"616_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\616_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"618_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\618_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"627_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\627_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"640_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\640_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"659_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\659_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"665_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\665_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"769_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\769_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"772_spawned.tif","6 (25 images)\PondB9 2010 (11 images)\772_spawned.tif",6,"B9","05-06-10","80 mm","5 MHz"
"788_spawned.tif","6 (25 images)\PondG1 2010 (4 images)\788_spawned.tif",6,"G1","05-17-10","80 mm","5 MHz"
"792_spawned.tif","6 (25 images)\PondG1 2010 (4 images)\792_spawned.tif",6,"G1","05-17-10","80 mm","5 MHz"
"799_spawned.tif","6 (25 images)\PondG1 2010 (4 images)\799_spawned.tif",6,"G1","05-17-10","80 mm","5 MHz"
"987_spawned.tif","6 (25 images)\PondG1 2010 (4 images)\987_spawned.tif",6,"G1","05-17-10","80 mm","5 MHz"
"755_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\755_spawned.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"758_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\758_spawned.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"776_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\776_spawned.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"781.tif","6 (25 images)\PondR2R3 2010 (8 images)\781.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"783_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\783_spawned.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"785_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\785_spawned.tif",6,"R2R3","05-17-10","80 mm","5 MHz"
"910_spawned.tif","6 (25 images)\PondR2R3 2010 (8 images)\910_spawned.tif",6,"R2R3","NA","80 mm","5 MHz"
"922_spswned.tif","6 (25 images)\PondR2R3 2010 (8 images)\922_spswned.tif",6,"R2R3","NA","80 mm","5 MHz"
"617_6 relesing.tif","7 (73 images)\PondB9 2010 (7 images)\617_6 relesing.tif",7,"B9","05-06-10","80 mm","5 MHz"
"626_releasing eggs.tif","7 (73 images)\PondB9 2010 (7 images)\626_releasing eggs.tif",7,"B9","05-06-10","80 mm","5 MHz"
"633_6 not releasing.tif","7 (73 images)\PondB9 2010 (7 images)\633_6 not releasing.tif",7,"B9","05-06-10","80 mm","5 MHz"
"638_releasing eggs.tif","7 (73 images)\PondB9 2010 (7 images)\638_releasing eggs.tif",7,"B9","05-06-10","80 mm","5 MHz"
"646_releasing eggs 6.tif","7 (73 images)\PondB9 2010 (7 images)\646_releasing eggs 6.tif",7,"B9","05-06-10","80 mm","5 MHz"
"662_regressing.tif","7 (73 images)\PondB9 2010 (7 images)\662_regressing.tif",7,"B9","05-06-10","80 mm","5 MHz"
"774_6 releasing.tif","7 (73 images)\PondB9 2010 (7 images)\774_6 releasing.tif",7,"B9","05-06-10","80 mm","5 MHz"
"114.tif","7 (73 images)\PondG1G2 2010 (24 images)\114.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"1361A.tif","7 (73 images)\PondG1G2 2010 (24 images)\1361A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"2137A.tif","7 (73 images)\PondG1G2 2010 (24 images)\2137A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"2515A.tif","7 (73 images)\PondG1G2 2010 (24 images)\2515A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"314.tif","7 (73 images)\PondG1G2 2010 (24 images)\314.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"397.tif","7 (73 images)\PondG1G2 2010 (24 images)\397.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"4560A.tif","7 (73 images)\PondG1G2 2010 (24 images)\4560A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"4680A.tif","7 (73 images)\PondG1G2 2010 (24 images)\4680A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"503.tif","7 (73 images)\PondG1G2 2010 (24 images)\503.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"510.tif","7 (73 images)\PondG1G2 2010 (24 images)\510.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"518.tif","7 (73 images)\PondG1G2 2010 (24 images)\518.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"523.tif","7 (73 images)\PondG1G2 2010 (24 images)\523.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"5337A.tif","7 (73 images)\PondG1G2 2010 (24 images)\5337A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"542.tif","7 (73 images)\PondG1G2 2010 (24 images)\542.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"544.tif","7 (73 images)\PondG1G2 2010 (24 images)\544.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"545.tif","7 (73 images)\PondG1G2 2010 (24 images)\545.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"546.tif","7 (73 images)\PondG1G2 2010 (24 images)\546.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"5631A.tif","7 (73 images)\PondG1G2 2010 (24 images)\5631A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"8656A.tif","7 (73 images)\PondG1G2 2010 (24 images)\8656A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"9290A.tif","7 (73 images)\PondG1G2 2010 (24 images)\9290A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"9351A.tif","7 (73 images)\PondG1G2 2010 (24 images)\9351A.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"BARBAL10.tif","7 (73 images)\PondG1G2 2010 (24 images)\BARBAL10.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"BARBAL20.tif","7 (73 images)\PondG1G2 2010 (24 images)\BARBAL20.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"XXXX.tif","7 (73 images)\PondG1G2 2010 (24 images)\XXXX.tif",7,"G1G2","03-30-10","80 mm","8 MHz"
"795_6.tif","7 (73 images)\PondG1 May (8 images)\795_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"798_6.tif","7 (73 images)\PondG1 May (8 images)\798_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"800_6.tif","7 (73 images)\PondG1 May (8 images)\800_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"976_6.tif","7 (73 images)\PondG1 May (8 images)\976_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"978_6.tif","7 (73 images)\PondG1 May (8 images)\978_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"980_6.tif","7 (73 images)\PondG1 May (8 images)\980_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"982_6.tif","7 (73 images)\PondG1 May (8 images)\982_6.tif",7,"G1","05-17-10","80 mm","5 MHz"
"984_3.tif","7 (73 images)\PondG1 May (8 images)\984_3.tif",7,"G1","05-17-10","80 mm","5 MHz"
"754.tif","7 (73 images)\PondR2R3 2010 (14 images)\754.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"763.tif","7 (73 images)\PondR2R3 2010 (14 images)\763.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"764.tif","7 (73 images)\PondR2R3 2010 (14 images)\764.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"765_6_pic3.tif","7 (73 images)\PondR2R3 2010 (14 images)\765_6_pic3.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"765_pic2.tif","7 (73 images)\PondR2R3 2010 (14 images)\765_pic2.tif",7,"R2R3","05-17-10","95 mm","5 MHz"
"765.tif","7 (73 images)\PondR2R3 2010 (14 images)\765.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"766.tif","7 (73 images)\PondR2R3 2010 (14 images)\766.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"804.tif","7 (73 images)\PondR2R3 2010 (14 images)\804.tif",7,"R2R3","NA","80 mm","5 MHz"
"914_regressing.tif","7 (73 images)\PondR2R3 2010 (14 images)\914_regressing.tif",7,"R2R3","NA","80 mm","5 MHz"
"919_regressing.tif","7 (73 images)\PondR2R3 2010 (14 images)\919_regressing.tif",7,"R2R3","NA","80 mm","5 MHz"
"921_regessed.tif","7 (73 images)\PondR2R3 2010 (14 images)\921_regessed.tif",7,"R2R3","NA","80 mm","5 MHz"
"923.tif","7 (73 images)\PondR2R3 2010 (14 images)\923.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"924.tif","7 (73 images)\PondR2R3 2010 (14 images)\924.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"925.tif","7 (73 images)\PondR2R3 2010 (14 images)\925.tif",7,"R2R3","05-17-10","80 mm","5 MHz"
"573.tif","Ask\2\573.tif",2,"NA","03-25-10","80 mm","8 MHz"
"604_spawned.tif","Ask\6\604_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"606_spawned.tif","Ask\6\606_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"607_spawned.tif","Ask\6\607_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"616_spawned.tif","Ask\6\616_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"618_spawned.tif","Ask\6\618_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"627_spawned.tif","Ask\6\627_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"640_spawned.tif","Ask\6\640_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"659_spawned.tif","Ask\6\659_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"665_spawned.tif","Ask\6\665_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"769_spawned.tif","Ask\6\769_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"772_spawned.tif","Ask\6\772_spawned.tif",6,"NA","05-06-10","80 mm","5 MHz"
"510.tif","Ask\7\510.tif",7,"NA","03-30-10","80 mm","8 MHz"
"523.tif","Ask\7\523.tif",7,"NA","03-30-10","80 mm","8 MHz"
"8656A.tif","Ask\7\8656A.tif",7,"NA","03-30-10","80 mm","8 MHz"
"976_6.tif","Ask\7\976_6.tif",7,"NA","05-17-10","80 mm","5 MHz"
"100-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\100-1.bmp",1,"NA","NA","80 mm","8.0 MHz"
"10-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\10-1.bmp",1,"NA","NA","80 mm","8.0 MHz"
"102-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\102-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"103-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\103-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"104-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\104-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"110-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\110-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"112-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\112-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"113-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\113-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"114-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\114-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"116-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\116-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"122-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\122-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"128-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\128-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
"130-1.bmp","1 (323 images)\Feb 3, 2009 (93 images)\130-1.bmp",1,"NA","02-03-09","80 mm","8.0 MHz"
